target_id	SRR1015507	SRR1015515	SRR1015519	SRR1015503	SRR1015531	SRR1015527	SRR1015523	SRR1015511
lcl|NW_011623728.1_mrna_XM_011054566.1_1	0	1.22791651219438	1.89131916235769	1.54222610370086	1.25697300024429	3.95332761613482	0	0
lcl|NW_011624586.1_ncrna_XR_846910.1_2	0	0	0	0	0	0	0	0
lcl|NW_011624727.1_mrna_XM_011069933.1_3	0.0118418383093726	1.09614850538036	4.12652423408021	0	2.07432615958328	1.39525293940125	1.9825818397379	2.75663024315115
lcl|NW_011624860.1_mrna_XM_011050785.1_4	0	0	0	0	0	0	0	0
lcl|NW_011624872.1_mrna_XM_011051941.1_5	0	0	0	0	0	0	0.78865414344004	0
lcl|NW_011625353.1_mrna_XM_011053060.1_6	0.666900909792596	0	0.503519187227426	0	0	0.411109277365611	0.770977023849178	0
lcl|NW_011625419.1_mrna_XM_011054215.1_7	0	0	0	0	0.940020015028301	0	0	0
lcl|NW_011625430.1_mrna_XM_011055343.1_8	0	1.41636822510363	0	0	0	0	1.68797663387761	0
lcl|NW_011625696.1_mrna_XM_011057713.1_9	0.492322051870494	1.4521829971124	0.4106406789162	1.62630585620313	0.476202716199584	2.69729190267006	1.03631023300628	0.554162610442109
lcl|NW_011625781.1_mrna_XM_011058873.1_10	0	0	2.7414060341272	1.59671664728031	0	3.89949840527878	0.987420093451595	0
lcl|NW_011625949.1_mrna_XM_011062367.1_11	10.3618850136157	11.6897053606743	14.0806567442736	11.8740725990907	10.4326952091886	10.4407443419907	10.8090145685912	11.3254673648647
lcl|NW_011625970.1_mrna_XM_011063536.1_12	0.265705057328248	0	0.354929170404323	0	0	0.491946007327763	0	0
lcl|NW_011626003.1_mrna_XM_011064707.1_13	0	0	0	0	0	0	0	0
lcl|NW_011626056.1_mrna_XM_011065862.1_14	0	0	0	0.376590127588421	0	0	1.41847146700407	0
lcl|NW_011626079.1_ncrna_XR_846969.1_15	0	0	0	1.85785800169244	0.838763802725927	1.39496290232427	2.45953000038813	0
lcl|NW_011626117.1_ncrna_XR_847052.1_16	0	1.82558757426663	2.0553780542399	3.43153589598187	2.52407763997367	2.49558716474529	1.81765036805273	1.29011916297231
lcl|NW_011626120.1_mrna_XM_011068524.1_17	0	0	0	0	0	0	0.609234733434468	0.182361361639669
lcl|NW_011626159.1_mrna_XM_011069491.1_18	0.823290888621803	1.75880463767391	4.82356514164769	2.28988086053902	2.19639394088037	4.63807507517924	2.46936565254896	0.528558807700313
lcl|NW_011626164.1_mrna_XM_011069602.1_19	0.205239551667918	0	0	0	0.192909150509737	0	0	0
lcl|NW_011626168.1_ncrna_XR_847172.1_20	3.12345560794079	4.90922850022432	4.74803837227842	5.03154761071795	8.08025882158386	6.744826017716	5.6867985190723	1.47293134729613
lcl|NW_011626187.1_mrna_XM_011069818.1_21	0.664742547316322	2.22326243946646	2.21635908555044	0.9944062004137	2.88547715215729	1.32205578131601	2.09327254585313	0.250311417359484
lcl|NW_011626194.1_mrna_XM_011069934.1_22	0.622462540287242	2.73035752895281	0	0	1.54856493693674	2.70146158215107	4.09154448376347	0
lcl|NW_011626205.1_mrna_XM_011070057.1_23	1.43986070770983	3.53090341014749	4.24056778574514	5.211950570719	4.69010582479223	4.83558180760384	7.00491897008796	2.07635567223554
lcl|NW_011626208.1_mrna_XM_011070177.1_24	0	0	0	0	0	0.132388812876434	0	0
lcl|NW_011626220.1_mrna_XM_011070389.1_25	0	0	0.90172082615629	0.988093651368719	0.63805092677979	0	0.0011428940212491	0.450132726573409
lcl|NW_011626221.1_mrna_XM_011070500.1_26	0	1.9758867417896e-07	0	2.32378833267666	0	2.57592112285132	0	0.36444869171902
lcl|NW_011626222.1_mrna_XM_011070601.1_27	0	0	2.16913285757598	0.896580088481573	0	0.870983002051675	0.809270922909516	0
