target_id	central brain	hypothalamus	astrocyte cultures	neuronal cultures	whole brains
lcl|NW_012130065.1_mrna_XM_012198564.1_51	2.61800130330485	0	0	0.895859961701135	2.34029642325157
lcl|NW_012130065.1_mrna_XM_012198572.1_456	9.37317478568897	0	0	9.44593466815428	9.98548029796338
lcl|NW_012130065.1_mrna_XM_012198583.1_457	6.76433317874604	0	0	6.53185082016631	7.63546725501542
lcl|NW_012130065.1_mrna_XM_012198594.1_458	7.61410589158293	0	0	7.5389800106843	7.44104283031981
lcl|NW_012130065.1_mrna_XM_012198605.1_459	5.30839161736645	0	0	6.72430235692023	6.1135406176354
lcl|NW_012130065.1_mrna_XM_012198614.1_460	4.69588716071681	0	0	5.44319837577863	4.85285568234557
lcl|NW_012130065.1_mrna_XM_012198625.1_461	5.08508160955405	0	0	4.84949336028224	5.31922781154092
lcl|NW_012130065.1_mrna_XM_012198636.1_462	4.9839108082601	0	0	5.52141680419574	4.85289208351851
lcl|NW_012130065.1_mrna_XM_012198647.1_463	12.4987003476234	0.185478671930192	0	11.4419480122437	12.3611962726058
lcl|NW_012130065.1_mrna_XM_012198658.1_464	0.839247046626634	0	0	3.73512638955731	0.312589802383597
lcl|NW_012130065.1_mrna_XM_012198669.1_465	6.6104492594954	0	0	7.59770448086985	7.28952668504462
lcl|NW_012130065.1_mrna_XM_012198678.1_466	2.64502385098331	0	0	4.15229168096627	2.68937557362494
lcl|NW_012130065.1_mrna_XM_012198689.1_469	6.2071467009516	0	0	7.88805661091342	6.44798971014985
lcl|NW_012130065.1_mrna_XM_012198699.1_468	5.87998657882793	0	0	5.81925018482661	5.91439924824043
lcl|NW_012130065.1_mrna_XM_012198706.1_467	4.60730994387383	0	0	5.3462303128588	4.97401963172082
lcl|NW_012130065.1_mrna_XM_012198717.1_470	12.196952999483	0	0	12.582929299999	11.8501848850561
lcl|NW_012130065.1_mrna_XM_012198724.1_471	8.5877272011497	0	0	7.48882563214954	8.75176468709637
lcl|NW_012130065.1_mrna_XM_012198730.1_473	6.0117913344021	0	0	7.36415038034222	6.20329855363605
lcl|NW_012130065.1_mrna_XM_012198740.1_474	2.78585204610605	0	0	5.04337268360822	2.81168574701649
lcl|NW_012130065.1_mrna_XM_012198749.1_476	5.67909309682536	0	0	9.10896643731176	5.3118223100893
lcl|NW_012130065.1_mrna_XM_012198760.1_477	8.18356618869816	0	0	10.9659698040686	8.06454182401283
lcl|NW_012130065.1_mrna_XM_012198765.1_52	6.13916926337373	0	0	9.80164452320762	6.85614147604097
lcl|NW_012130065.1_mrna_XM_012198772.1_478	7.41047734751021	0.143339669461111	0.00910986088963168	11.4740652841068	8.47415981176109
