target_id	central brain	neuronal cultures	whole brains
lcl|NW_012130065.1_mrna_XM_012198564.1_51	2.72042053866451	1.44290093463638	2.29675089321569
lcl|NW_012130065.1_mrna_XM_012198572.1_456	8.43186707480652	7.99633084267124	10.0081755764474
lcl|NW_012130065.1_mrna_XM_012198583.1_457	5.37373057054736	5.54328149302544	8.50142627572604
lcl|NW_012130065.1_mrna_XM_012198594.1_458	6.81924197405504	5.83892515524709	6.78670929383991
lcl|NW_012130065.1_mrna_XM_012198605.1_459	4.44638383443947	3.61372406957886	4.15030866378556
lcl|NW_012130065.1_mrna_XM_012198614.1_460	4.5226380173281	5.18634883825325	4.3573246433975
lcl|NW_012130065.1_mrna_XM_012198625.1_461	4.68102221607142	4.67149527919447	5.62750958306766
lcl|NW_012130065.1_mrna_XM_012198636.1_462	4.67828751379873	5.32014153644358	5.09321780954816
lcl|NW_012130065.1_mrna_XM_012198647.1_463	12.0514077535165	12.0138396227204	13.5293648426846
lcl|NW_012130065.1_mrna_XM_012198658.1_464	0.411701301494895	4.08007267417169	0.395951781298051
lcl|NW_012130065.1_mrna_XM_012198669.1_465	6.16813114319702	7.08580179506377	6.79070810320032
lcl|NW_012130065.1_mrna_XM_012198678.1_466	2.72058693571996	4.28608843133382	2.49796645228567
lcl|NW_012130065.1_mrna_XM_012198689.1_469	6.96077636076797	8.11495465962463	5.42401926432521
lcl|NW_012130065.1_mrna_XM_012198699.1_468	6.37651267581708	7.0897232162938	5.73609342365925
lcl|NW_012130065.1_mrna_XM_012198706.1_467	4.77081673376213	5.18024310032092	5.08327448666691
lcl|NW_012130065.1_mrna_XM_012198717.1_470	12.9971835653482	13.6032059789024	11.1045705010957
lcl|NW_012130065.1_mrna_XM_012198724.1_471	9.52131685692567	6.77218948237855	6.44109140569294
lcl|NW_012130065.1_mrna_XM_012198730.1_473	5.96228933767951	6.24089602474717	5.45542965477229
lcl|NW_012130065.1_mrna_XM_012198740.1_474	3.10951624649169	3.10402296008342	0.675548144340285
lcl|NW_012130065.1_mrna_XM_012198749.1_476	5.90814597767767	8.22059177305401	4.71844538866285
lcl|NW_012130065.1_mrna_XM_012198760.1_477	8.45328826015778	10.1086177887045	7.27011241260124
lcl|NW_012130065.1_mrna_XM_012198765.1_52	6.51847573645682	8.52455097412308	5.37328666286501
lcl|NW_012130065.1_mrna_XM_012198772.1_478	7.54239977185571	10.9909601971599	8.09958100962948
lcl|NW_012130065.1_mrna_XM_012198783.1_479	4.41050633068778	5.49342880779048	3.81525044380846
lcl|NW_012130065.1_mrna_XM_012198793.1_481	2.13339995368093	0.307546668244107	3.33468076898181
