target_id	central brain	whole brains	neuronal cultures
lcl|NW_012130065.1_mrna_XM_012198564.1_51	2.72205409095223	4.21718078330342	4.53136040933099
lcl|NW_012130065.1_mrna_XM_012198572.1_456	8.09824252440275	9.9352352310329	12.6219407196064
lcl|NW_012130065.1_mrna_XM_012198583.1_457	5.42492399040493	7.35619134963679	7.05003428694923
lcl|NW_012130065.1_mrna_XM_012198594.1_458	6.58015660310885	8.10956682652265	8.09873243326738
lcl|NW_012130065.1_mrna_XM_012198605.1_459	4.57014544926452	6.21344115901662	6.2746093767861
lcl|NW_012130065.1_mrna_XM_012198614.1_460	4.45308994588396	5.49744060574745	6.00997175094097
lcl|NW_012130065.1_mrna_XM_012198625.1_461	5.1676480695339	6.17877001481877	3.92036982538372
lcl|NW_012130065.1_mrna_XM_012198636.1_462	5.41904743503947	6.0532065080218	4.80149860312255
lcl|NW_012130065.1_mrna_XM_012198647.1_463	12.424353378854	12.5689295773028	10.6915307565009
lcl|NW_012130065.1_mrna_XM_012198658.1_464	0.587083273476906	0.936257321464658	3.17365674044226
lcl|NW_012130065.1_mrna_XM_012198669.1_465	6.300021604925	7.64701759388214	7.29243673771917
lcl|NW_012130065.1_mrna_XM_012198678.1_466	3.33336175509213	3.64070652215546	4.19552750879189
lcl|NW_012130065.1_mrna_XM_012198689.1_469	5.09930591004237	5.6862286050792	7.59552774310248
lcl|NW_012130065.1_mrna_XM_012198699.1_468	5.77795266339732	6.36291757526525	7.26071805639749
lcl|NW_012130065.1_mrna_XM_012198706.1_467	5.30811264403417	5.87691264401094	6.10259911673999
lcl|NW_012130065.1_mrna_XM_012198717.1_470	11.137366223499	11.4618822924681	13.7084786763121
lcl|NW_012130065.1_mrna_XM_012198724.1_471	7.33016682494986	8.47928914856053	6.99372420134482
lcl|NW_012130065.1_mrna_XM_012198730.1_473	5.56606532597526	5.83944740953482	9.66316210551533
lcl|NW_012130065.1_mrna_XM_012198740.1_474	2.77918267071594	3.10753216993353	6.49046438168924
lcl|NW_012130065.1_mrna_XM_012198749.1_476	5.5499109592509	5.58070184343142	9.34182343879957
lcl|NW_012130065.1_mrna_XM_012198760.1_477	8.13575851757784	7.9954565282346	14.5061458360889
lcl|NW_012130065.1_mrna_XM_012198765.1_52	5.32682267052677	8.75245409592749	10.4827310676244
lcl|NW_012130065.1_mrna_XM_012198772.1_478	7.08149543388348	7.98332671400124	14.8307654050623
lcl|NW_012130065.1_mrna_XM_012198783.1_479	4.64757738561696	5.74314948576026	10.209591655562
lcl|NW_012130065.1_mrna_XM_012198793.1_481	2.4260212194761	3.14535308610736	1.77275307785559
lcl|NW_012130065.1_mrna_XM_012198804.1_483	4.02371983694041	5.489688840162	9.91792091627437
lcl|NW_012130065.1_mrna_XM_012198815.1_484	1.89974724072378	2.19082517534032	7.16991008165636
lcl|NW_012130065.1_mrna_XM_012198826.1_486	4.11336206054845	5.73963757885638	11.1394657281906
lcl|NW_012130065.1_mrna_XM_012198838.1_487	4.52138016735528	4.83033827821138	2.39496586522423
lcl|NW_012130065.1_mrna_XM_012198849.1_488	6.54452104042337	6.40605155270861	10.3327523966982
lcl|NW_012130065.1_mrna_XM_012198860.1_490	8.15756535470322	6.46376932669664	9.52961140747662
lcl|NW_012130065.1_mrna_XM_012198871.1_489	7.39368691347629	6.35442088976752	9.83205046252603
lcl|NW_012130065.1_mrna_XM_012198875.1_53	2.79046245455971	5.9205993489349	4.62692650189093
lcl|NW_012130065.1_mrna_XM_012198883.1_491	7.64320692963443	6.27732915876686	7.44809696633852
lcl|NW_012130065.1_mrna_XM_012198893.1_492	6.32110353271797	4.27747850825692	5.49499463525168
lcl|NW_012130065.1_mrna_XM_012198901.1_493	7.59082072335766	6.0259863703491	6.64238707390867
lcl|NW_012130065.1_mrna_XM_012198906.1_9	5.67934578463595	5.90433721242847	5.99364681482744
lcl|NW_012130065.1_mrna_XM_012198910.1_494	7.05598250810285	6.09203206207091	6.6959489202827
lcl|NW_012130065.1_mrna_XM_012198921.1_495	7.96574714264009	7.59837559988462	6.64911331190063
lcl|NW_012130065.1_mrna_XM_012198931.1_496	4.26232236205686	3.78886048660591	5.4354742076505
lcl|NW_012130065.1_mrna_XM_012198939.1_497	6.91262967982359	5.22953116436318	7.36317090006412
lcl|NW_012130065.1_mrna_XM_012198948.1_498	9.86256633233678	6.83377188305039	5.07978465026411
lcl|NW_012130065.1_mrna_XM_012198959.1_499	8.49153114257565	7.14914201433396	7.53157290445
lcl|NW_012130065.1_mrna_XM_012198969.1_500	5.40848383820203	5.56765721450272	5.19132396883824
lcl|NW_012130065.1_mrna_XM_012198973.1_54	2.82011811399979	6.97272669913774	4.03106125172586
