target_id	abdomen	fat body	brain	whole body sample
lcl|NW_027249063.1_miscrna_XR_011718889.1_158	0.860893286455717	0.530224478653029	2.2079987157412	0.70745939868095
lcl|NW_027249063.1_miscrna_XR_011719125.1_183	0.65569593113918	0.625586988906998	3.14215757846308	0.949656479303409
lcl|NW_027249063.1_miscrna_XR_011719883.1_244	0.951376756453256	0.000147129464033107	0.138257529442605	0.733461048749191
lcl|NW_027249063.1_miscrna_XR_011719898.1_245	1.50990481335296	1.25044945353457	0.173997772685694	1.05338652833523
lcl|NW_027249063.1_miscrna_XR_011720256.1_272	1.61275227465428e-08	6.93600138770999e-09	0.336529999738757	0
lcl|NW_027249063.1_miscrna_XR_011720264.1_270	0.147451190051016	0.383013231193142	0.187230300121717	0.0852782240830649
lcl|NW_027249063.1_miscrna_XR_011720270.1_271	0.0252032673736544	2.42379385778352e-09	0.101507154867659	0
lcl|NW_027249063.1_miscrna_XR_011721096.1_324	0.664024670872023	0.627548786752236	2.95357306334832	1.4500904186212
lcl|NW_027249063.1_miscrna_XR_011721104.1_323	0.29760182499349	0.496115325878021	1.46168558647885	0.151769041693344
lcl|NW_027249063.1_miscrna_XR_011721164.1_313	0.337069174248768	0.82554182526592	1.43741374142045	0.666260980626332
lcl|NW_027249063.1_miscrna_XR_011721165.1_312	1.20381739847638	0	2.4921998257533	1.19278312802385
lcl|NW_027249063.1_miscrna_XR_011721172.1_311	0.180972018485893	0.970349927059297	1.74991463949127	0.0976329403709086
lcl|NW_027249063.1_miscrna_XR_011721182.1_310	0.684477573015332	2.64275708229207	2.64293193560953	1.58016667903494
lcl|NW_027249063.1_miscrna_XR_011721188.1_307	0.0514612261204551	0	0.114140903423211	0
lcl|NW_027249063.1_miscrna_XR_011721210.1_308	0.201639948503611	0	0.377288764873633	0.13811439998286
lcl|NW_027249063.1_miscrna_XR_011721230.1_309	0.0427885587981489	0.515727227204015	0.277222197074836	0
lcl|NW_027249063.1_mrna_XM_071697023.1_425	2.92472261731551	0.261120986808729	2.26203515093106	1.06230709298244
lcl|NW_027249063.1_mrna_XM_071697033.1_423	2.35557914257331	0.284747169041295	0.179071953700124	1.50882955609318
lcl|NW_027249063.1_mrna_XM_071697045.1_422	0.149979218013253	0.173289373434216	0.619153831549471	0.231314623855656
lcl|NW_027249063.1_mrna_XM_071697051.1_421	0.409826532693101	0.177503029597908	0.591947839330572	0.560876440186459
lcl|NW_027249063.1_mrna_XM_071697063.1_420	6.09175810960285	6.10813260120064	6.5023793061004	7.00650972913225
